key,K-12,Undergraduate,First time programmers,Educators,Race,Gender,Accessability,Grades,Participation,Opinion,Deep Feedback,Practice,Tool,Colleagues,Instructors,Evaluation
anon2020title10,X,,,,,,,X,,,,X,,X,,
anon2020title12,,X,X,,,,,X,X,,,X,X,,,
anon2020title15,,X,X,,X,X,,,X,,,,,,X,
anon2020title17,,X,X,,,,,,,X,X,,,,,X
anon2020title19,,X,,,,,,X,,,,,,,,X
anon2020title22,X,,,,,,X,,X,,,X,,X,,
anon2020title25,,X,,,,,,,,X,X,,,X,X,
anon2020title28,,X,,,,,,,,X,X,,,X,,
anon2020title3,,X,,,,X,,,,X,,,,,,X
anon2020title32,X,,,,X,,,X,,,,,,X,X,
anon2020title35,X,,,,,X,,X,,,,,,,,X
anon2020title37,X,,,X,,,,,,X,,X,X,,,
anon2020title42,,X,,,,X,,X,,X,,,,X,X,
anon2020title45,,X,X,,,X,,,X,X,X,X,X,,,
anon2020title48,,X,X,,,,X,X,,,,,,X,,X
anon2020title7,,X,X,,,X,,,X,,,,,X,,X
anon2020title8,X,,,,X,,,X,,X,,X,X,,,X